Month,Advances,Declines
2021-01,886,1068
2021-02,978,950
2021-03,881,1072
2021-04,1031,899
2021-05,1082,879
2021-06,1021,976
2021-07,996,996
2021-08,911,1097
2021-09,989,1022
2021-10,958,1091
2021-11,982,1069
2021-12,1125,964
2022-01,1064,1069
2022-02,921,1208
2022-03,1042,1088
2022-04,1081,1069
2022-05,927,1232
2022-06,944,1190
2022-07,1157,967
2022-08,1141,1016
2022-09,1007,1181
2022-10,1057,1129
2022-11,1082,1123
2022-12,1059,1175
2023-01,990,1248
2023-02,915,1320
2023-03,1033,1233
2023-04,1309,962
2023-05,1149,1128
2023-06,1191,1133
2023-07,1168,1134
2023-08,1170,1176
2023-09,1182,1204
2023-10,1153,1263
2023-11,1296,1136
2023-12,1283,1189
2024-01,1257,1511
2024-02,1161,1368
2024-03,1100,1472
2024-04,1409,1162
2024-05,1159,1412
2024-06,1457,1174
2024-07,1365,1306
2024-08,1312,1384
2024-09,1275,1465
2024-10,1257,1511
2024-11,1375,1407
2024-12,1304,1492
2025-01,1275,1537
2025-02,1066,1755
2025-03,1441,1446
2025-04,1572,1303
2025-05,1537,1320
2025-06,1452,1431
2025-07,1298,1623
2025-08,1316,1641
2025-09,1455,1555
2025-10,1660,1588
2025-11,1556,1782
2025-12,1584,1742
2026-01,1492,1866
2026-02,1700,1724
2026-03,1482,2020
2026-04,2146,1373
2026-05,1779,1729
2026-06,1781,1742
2026-07,1765,1774
2026-08,1844,1848
