Month,Advances,Declines,Total,AD_Ratio,NetAdvances,AD_Line_Monthly,AD_Ratio_Rolling,BreadthPositive
2021-01-01,886,1068,1954,0.8295880149812734,-182,-182,,False
2021-02-01,978,950,1928,1.0294736842105263,28,-154,,True
2021-03-01,881,1072,1953,0.8218283582089553,-191,-345,0.893630019133585,False
2021-04-01,1031,899,1930,1.1468298109010011,132,-213,0.9993772844401608,True
2021-05-01,1082,879,1961,1.2309442548350398,203,-10,1.0665341413149987,True
2021-06-01,1021,976,1997,1.0461065573770492,45,35,1.1412935410376965,True
2021-07-01,996,996,1992,1.0,0,35,1.092350270737363,False
2021-08-01,911,1097,2008,0.8304466727438469,-186,-151,0.9588510767069653,False
2021-09-01,989,1022,2011,0.9677103718199609,-33,-184,0.9327190148546025,False
2021-10-01,958,1091,2049,0.8780934922089826,-133,-317,0.8920835122575967,False
2021-11-01,982,1069,2051,0.9186155285313377,-87,-404,0.9214731308534271,False
2021-12-01,1125,964,2089,1.1670124481327802,161,-243,0.9879071562910334,True
2022-01-01,1064,1069,2133,0.9953227315247896,-5,-248,1.0269835693963023,False
2022-02-01,921,1208,2129,0.7624172185430463,-287,-535,0.9749174660668719,False
2022-03-01,1042,1088,2130,0.9577205882352942,-46,-581,0.9051535127677101,False
2022-04-01,1081,1069,2150,1.011225444340505,12,-569,0.9104544170396153,True
2022-05-01,927,1232,2159,0.752435064935065,-305,-874,0.9071270325036215,False
2022-06-01,944,1190,2134,0.7932773109243697,-246,-1120,0.8523126067333132,False
2022-07-01,1157,967,2124,1.1964839710444675,190,-930,0.9140654489679673,True
2022-08-01,1141,1016,2157,1.1230314960629921,125,-805,1.0375975926772762,True
2022-09-01,1007,1181,2188,0.8526672311600338,-174,-979,1.0573942327558312,False
2022-10-01,1057,1129,2186,0.9362267493356953,-72,-1051,0.9706418255195738,False
2022-11-01,1082,1123,2205,0.9634906500445236,-41,-1092,0.9174615435134176,False
2022-12-01,1059,1175,2234,0.9012765957446809,-116,-1208,0.9336646650416333,False
2023-01-01,990,1248,2238,0.7932692307692307,-258,-1466,0.8860121588528118,False
2023-02-01,915,1320,2235,0.6931818181818182,-405,-1871,0.7959092148985766,False
2023-03-01,1033,1233,2266,0.83779399837794,-200,-2071,0.7747483491096631,False
2023-04-01,1309,962,2271,1.3607068607068606,347,-1724,0.9638942257555397,True
2023-05-01,1149,1128,2277,1.0186170212765957,21,-1703,1.072372626787132,True
2023-06-01,1191,1133,2324,1.0511915269196823,58,-1645,1.1435051363010462,True
2023-07-01,1168,1134,2302,1.0299823633156966,34,-1611,1.033263637170658,True
2023-08-01,1170,1176,2346,0.9948979591836735,-6,-1617,1.025357283139684,False
2023-09-01,1182,1204,2386,0.9817275747508306,-22,-1639,1.0022026324167335,False
2023-10-01,1153,1263,2416,0.9129057798891528,-110,-1749,0.9631771046078855,False
2023-11-01,1296,1136,2432,1.1408450704225352,160,-1589,1.0118261416875063,True
2023-12-01,1283,1189,2472,1.07905803195963,94,-1495,1.0442696274237726,True
2024-01-01,1257,1511,2768,0.8318994043679683,-254,-1749,1.0172675022500444,False
2024-02-01,1161,1368,2529,0.8486842105263158,-207,-1956,0.9198805489513046,False
2024-03-01,1100,1472,2572,0.7472826086956522,-372,-2328,0.8092887411966454,False
