Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Total Traded Quantity,Value,No. Of Trades
GOLD10G99,EG,11-Sep-2026,"1,58,982.00","1,56,868.00","1,56,897.00","1,56,868.00","1,56,897.00","1,56,897.00","102","1,60,02,032.00","37"
GOLD10G99,EG,10-Sep-2026,"1,57,737.00","1,58,954.00","1,58,982.00","1,58,953.00","1,58,982.00","1,58,982.00","116","1,84,40,263.00","42"
GOLD10G99,EG,09-Sep-2026,"1,58,343.00","1,57,696.00","1,57,737.00","1,57,693.00","1,57,737.00","1,57,737.00","140","2,20,80,136.00","50"
GOLD10G99,EG,08-Sep-2026,"1,57,568.00","1,58,326.00","1,58,346.00","1,58,322.00","1,58,343.00","1,58,343.00","124","1,96,33,426.00","41"
GOLD10G99,EG,07-Sep-2026,"1,60,187.00","1,57,538.00","1,57,568.00","1,57,538.00","1,57,568.00","1,57,568.00","136","2,14,26,857.00","44"
GOLD10G99,EG,04-Sep-2026,"1,59,282.00","1,60,170.00","1,60,187.00","1,60,168.00","1,60,187.00","1,60,187.00","104","1,66,58,329.00","37"
GOLD10G99,EG,03-Sep-2026,"1,55,334.00","1,59,270.00","1,59,282.00","1,59,263.00","1,59,282.00","1,59,282.00","104","1,65,64,411.00","37"
GOLD10G99,EG,02-Sep-2026,"1,59,717.00","1,55,312.00","1,55,334.00","1,55,312.00","1,55,334.00","1,55,334.00","135","2,09,68,329.00","49"
GOLD10G99,EG,01-Sep-2026,"1,59,630.00","1,59,715.00","1,59,722.00","1,59,714.00","1,59,717.00","1,59,717.00","123","1,96,45,364.00","43"
GOLD10G99,EG,31-Aug-2026,"1,63,279.00","1,59,605.00","1,59,630.00","1,59,604.00","1,59,630.00","1,59,630.00","126","2,01,12,058.00","50"
GOLD10G99,EG,28-Aug-2026,"1,63,198.00","1,63,244.00","1,63,283.00","1,63,243.00","1,63,279.00","1,63,279.00","106","1,73,05,529.00","40"
GOLD10G99,EG,27-Aug-2026,"1,67,122.00","1,63,181.00","1,63,198.00","1,63,177.00","1,63,198.00","1,63,198.00","124","2,02,35,197.00","49"
GOLD10G99,EG,26-Aug-2026,"1,67,173.00","1,67,102.00","1,67,124.00","1,67,102.00","1,67,122.00","1,67,122.00","135","2,25,60,140.00","57"
GOLD10G99,EG,25-Aug-2026,"1,66,887.00","1,67,156.00","1,67,173.00","1,67,154.00","1,67,173.00","1,67,173.00","123","2,05,61,161.00","52"
GOLD10G99,EG,24-Aug-2026,"1,64,623.00","1,66,853.00","1,66,887.00","1,66,853.00","1,66,887.00","1,66,887.00","109","1,81,88,565.00","53"
GOLD10G99,EG,21-Aug-2026,"1,62,480.00","1,64,600.00","1,64,623.00","1,64,600.00","1,64,623.00","1,64,623.00","92","1,51,44,088.00","44"
GOLD10G99,EG,20-Aug-2026,"1,58,090.00","1,62,453.00","1,63,474.00","1,62,453.00","1,62,480.00","1,62,480.00","81","1,31,63,957.00","38"
GOLD10G99,EG,19-Aug-2026,"1,59,006.00","1,58,068.00","1,58,090.00","1,58,031.00","1,58,090.00","1,58,090.00","151","2,38,66,154.00","61"
GOLD10G99,EG,18-Aug-2026,"1,58,961.00","1,58,971.00","1,59,006.00","1,58,968.00","1,59,006.00","1,59,006.00","228","3,62,49,439.00","101"
GOLD10G99,EG,17-Aug-2026,"1,56,298.00","1,58,905.00","1,58,962.00","1,58,905.00","1,58,961.00","1,58,961.00","218","3,46,47,503.00","98"
