"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ITC","EQ","15-Sep-2026","259.85","261.00","264.20","258.00","258.00","258.00","261.19","1,21,33,201","3,16,91,16,204.55","1,68,656","-","-"
"ITC","EQ","11-Sep-2026","259.30","258.00","261.65","257.70","259.85","259.85","260.46","1,11,16,049","2,89,53,00,271.85","1,19,199","57,35,433","58.39"
"ITC","EQ","10-Sep-2026","260.80","261.00","263.90","259.10","259.30","259.30","260.67","1,75,41,602","4,57,26,22,840.60","1,09,793","1,03,73,726","59.14"
"ITC","EQ","09-Sep-2026","263.50","263.65","264.50","260.20","260.80","260.80","261.97","1,00,65,188","2,63,67,57,520.95","2,06,864","59,65,816","59.27"
"ITC","EQ","08-Sep-2026","263.50","263.50","265.90","262.70","263.50","263.50","264.44","74,06,617","1,95,85,91,277.95","1,71,295","39,93,453","53.92"
"ITC","EQ","07-Sep-2026","264.10","264.10","264.95","262.95","263.50","263.50","263.64","66,88,002","1,76,32,35,610.10","1,49,313","37,92,130","56.70"
"ITC","EQ","04-Sep-2026","263.00","264.00","266.25","262.65","264.10","264.10","264.73","95,19,153","2,51,99,88,718.35","1,45,963","49,36,252","51.86"
"ITC","EQ","03-Sep-2026","266.30","266.50","267.60","262.35","263.00","263.00","264.49","1,78,13,663","4,71,15,97,457.30","1,79,304","1,22,94,251","69.02"
"ITC","EQ","02-Sep-2026","266.60","266.00","269.00","262.80","266.30","266.30","266.95","1,46,43,482","3,90,91,06,881.55","2,44,645","79,71,263","54.44"
"ITC","EQ","01-Sep-2026","255.50","261.50","268.20","261.50","266.60","266.60","265.68","3,12,58,553","8,30,47,91,882.35","2,25,390","1,35,23,941","43.26"
"ITC","EQ","31-Aug-2026","266.00","266.00","266.55","255.50","255.50","255.50","262.30","2,45,75,845","6,44,63,60,784.65","2,03,971","1,88,29,561","76.62"
"ITC","EQ","28-Aug-2026","269.00","269.00","269.00","264.80","266.00","266.00","265.93","1,52,00,847","4,04,23,97,933.70","2,04,924","92,34,520","60.75"
"ITC","EQ","27-Aug-2026","270.25","269.50","271.25","268.00","269.00","269.00","269.22","88,34,890","2,37,84,95,713.45","1,67,184","48,97,886","55.44"
"ITC","EQ","26-Aug-2026","271.40","271.85","273.95","270.25","270.25","270.25","271.84","1,16,93,367","3,17,87,18,776.25","1,42,399","70,10,608","59.95"
"ITC","EQ","25-Aug-2026","269.70","269.70","271.40","267.65","271.40","271.40","269.34","84,14,719","2,26,64,02,903.00","1,44,133","47,51,035","56.46"
"ITC","EQ","24-Aug-2026","269.40","270.60","270.60","267.00","269.70","269.70","268.48","85,18,400","2,28,69,97,183.35","1,99,892","48,94,057","57.45"
"ITC","EQ","21-Aug-2026","271.65","271.60","271.60","269.00","269.40","269.40","269.84","83,12,928","2,24,31,32,156.00","1,62,255","54,61,181","65.70"
"ITC","EQ","20-Aug-2026","267.05","268.20","271.65","265.00","271.65","271.65","268.31","2,82,72,797","7,58,58,11,234.85","2,38,619","1,89,07,919","66.88"
"ITC","EQ","19-Aug-2026","270.00","270.00","270.95","265.85","267.05","267.05","267.49","1,38,21,291","3,69,69,94,660.30","2,46,568","88,36,852","63.94"
"ITC","EQ","18-Aug-2026","273.05","273.05","273.65","269.15","270.00","270.00","271.01","1,45,61,572","3,94,63,38,732.70","2,16,235","86,17,471","59.18"
"ITC","EQ","17-Aug-2026","278.20","278.20","278.20","273.00","273.05","273.05","274.10","1,27,95,275","3,50,71,77,243.10","2,15,376","76,52,361","59.81"
"ITC","EQ","14-Aug-2026","278.50","278.35","278.35","275.95","278.20","278.20","277.14","73,38,537","2,03,38,26,206.40","1,50,815","41,15,522","56.08"
"ITC","EQ","13-Aug-2026","276.15","276.20","278.50","276.05","278.50","278.50","277.24","1,13,35,590","3,14,26,54,318.10","1,70,159","69,78,747","61.56"
"ITC","EQ","12-Aug-2026","279.00","279.00","279.55","275.40","276.15","276.15","277.27","1,26,30,816","3,50,21,79,177.70","1,78,580","72,08,334","57.07"
"ITC","EQ","11-Aug-2026","282.65","282.00","282.60","278.00","279.00","279.00","280.07","1,30,53,722","3,65,59,99,825.65","1,80,422","88,46,122","67.77"
"ITC","EQ","10-Aug-2026","286.10","286.10","286.10","281.40","282.65","282.65","283.32","93,47,929","2,64,84,87,210.90","1,42,413","54,54,183","58.35"
"ITC","EQ","07-Aug-2026","285.90","285.00","286.10","284.40","286.10","286.10","285.09","61,28,841","1,74,72,90,114.65","66,455","37,37,033","60.97"
"ITC","EQ","06-Aug-2026","286.95","285.45","286.35","283.70","285.90","285.90","284.90","1,24,47,629","3,54,63,75,925.85","3,24,464","70,32,595","56.50"
"ITC","EQ","05-Aug-2026","289.00","288.25","288.50","285.00","286.95","286.95","286.14","1,17,71,241","3,36,82,24,048.00","3,34,123","67,82,486","57.62"
"ITC","EQ","04-Aug-2026","287.00","286.05","289.00","284.70","289.00","289.00","286.85","1,26,89,243","3,63,99,35,619.90","2,92,805","53,36,067","42.05"
"ITC","EQ","03-Aug-2026","281.00","284.45","292.55","283.00","287.00","287.00","289.03","4,53,92,755","13,12,00,68,403.80","3,97,056","1,66,49,857","36.68"
