Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,DailyReturn,SMA50,SMA200,RunningMax,Drawdown,GoldenCross,DeathCross
ITC,EQ,2021-09-15,216.1,217.1,217.2,215.3,215.7,216.0,215.9,20248758,4371704280.7,103557,13749583.0,67.9,,,,216.0,0.0,False,False
ITC,EQ,2021-09-16,216.0,216.95,233.65,216.3,230.3,230.75,229.26,149238901,34215026418.75,734612,44833384.0,30.04,0.06828703703703698,,,230.75,0.0,False,False
ITC,EQ,2021-09-17,230.75,233.0,237.3,229.1,231.5,231.15,232.96,79501805,18521035212.55,406400,26808048.0,33.72,0.0017334777898159182,,,231.15,0.0,False,False
ITC,EQ,2021-09-20,231.15,231.0,239.35,230.25,232.95,233.75,235.83,70390969,16600526835.4,419200,24057714.0,34.18,0.011248107289638654,,,233.75,0.0,False,False
ITC,EQ,2021-09-21,233.75,234.95,242.45,231.7,241.55,241.5,237.79,56671832,13476219719.75,327928,19197880.0,33.88,0.03315508021390379,,,241.5,0.0,False,False
ITC,EQ,2021-09-22,241.5,243.5,245.8,240.7,243.0,243.5,243.28,52621868,12802048327.1,309101,22171661.0,42.13,0.008281573498964745,,,243.5,0.0,False,False
ITC,EQ,2021-09-23,243.5,245.0,245.6,241.7,242.35,242.5,243.18,21791090,5299228640.4,198020,10092922.0,46.32,-0.004106776180698102,,,243.5,-0.004106776180698102,False,False
ITC,EQ,2021-09-24,242.5,244.0,244.0,237.7,238.2,238.45,240.27,24823291,5964251168.4,210081,11708286.0,47.17,-0.016701030927835148,,,243.5,-0.02073921971252568,False,False
ITC,EQ,2021-09-27,238.45,239.8,241.85,235.5,238.5,238.7,238.63,22890540,5462469728.1,164828,8855963.0,38.69,0.00104843782763675,,,243.5,-0.019712525667351155,False,False
ITC,EQ,2021-09-28,238.7,239.85,241.6,236.3,237.25,237.75,238.82,15713947,3752873734.75,126931,6473185.0,41.19,-0.003979891076665187,,,243.5,-0.02361396303901442,False,False
ITC,EQ,2021-09-29,237.75,236.0,241.4,235.7,237.85,238.1,238.18,15450046,3679856652.9,125680,6183100.0,40.02,0.0014721345951629328,,,243.5,-0.022176591375769994,False,False
ITC,EQ,2021-09-30,238.1,239.9,240.4,235.25,235.8,236.15,237.68,16357902,3887886982.7,120162,8001445.0,48.91,-0.008189836203275846,,,243.5,-0.03018480492813136,False,False
ITC,EQ,2021-10-01,236.15,235.2,237.0,232.9,235.25,235.35,234.62,15956143,3743680334.05,136058,6563294.0,41.13,-0.0033876773237350166,,,243.5,-0.033470225872689996,False,False
ITC,EQ,2021-10-04,235.35,236.0,238.35,235.4,236.6,236.6,236.93,10686552,2531930783.5,105551,4570937.0,42.77,0.005311238580837152,,,243.5,-0.028336755646817258,False,False
ITC,BL,2021-10-04,256.0,235.35,235.35,235.35,235.35,235.35,235.35,2737937,644373472.95,1,,,-0.005283178360101393,,,243.5,-0.033470225872689996,False,False
ITC,EQ,2021-10-05,236.6,236.4,237.45,234.5,234.6,234.7,235.35,9223597,2170741557.95,94090,4699478.0,50.95,-0.002761844062035279,,,243.5,-0.036139630390143784,False,False
ITC,EQ,2021-10-06,234.7,234.8,236.4,230.6,230.9,231.25,232.89,17505160,4076718725.15,112565,9907202.0,56.6,-0.014699616531742565,,,243.5,-0.05030800821355241,False,False
ITC,EQ,2021-10-07,231.25,233.0,234.95,232.3,232.95,232.95,233.59,10371535,2422666147.55,85072,5157574.0,49.73,0.007351351351351232,,,243.5,-0.043326488706365573,False,False
ITC,EQ,2021-10-08,232.95,234.75,234.8,231.2,231.9,231.7,232.63,9739240,2265638076.15,89186,4347984.0,44.64,-0.00536595836016307,,,243.5,-0.0484599589322382,False,False
ITC,EQ,2021-10-11,231.7,232.0,239.5,231.7,238.2,238.05,236.17,21184428,5003054961.3,153853,9900712.0,46.74,0.02740612861458791,,,243.5,-0.022381930184804832,False,False
ITC,EQ,2021-10-12,238.05,238.6,243.0,238.0,241.3,241.3,240.78,29222028,7036105158.75,205242,11646287.0,39.85,0.013652593992858675,,,243.5,-0.00903490759753589,False,False
ITC,EQ,2021-10-13,241.3,242.55,250.9,240.15,250.9,249.2,245.44,50159625,12311287566.95,259485,23041573.0,45.94,0.03273932863655182,,,249.2,0.0,False,False
