Month,Securities_Top5,Securities_Top10,Securities_Top25,Securities_Top50,Securities_Top100,Members_Top5,Members_Top10,Members_Top25,Members_Top50,Members_Top100
2022-04,14,22,36,50,65,26,39,60,77,89
2022-05,11,18,30,43,57,26,39,62,79,90
2022-06,12,19,34,50,67,26,40,61,78,90
2022-07,12,19,32,43,57,26,40,61,78,90
2022-08,10,16,30,44,61,25,39,61,77,89
2022-09,11,18,32,46,61,25,38,60,77,89
2022-10,11,18,32,47,63,25,39,62,78,89
2022-11,10,16,30,45,61,24,37,60,76,88
2022-12,9,16,29,42,58,25,39,60,76,88
2023-01,13,21,37,51,65,25,38,61,78,90
2023-02,16,24,39,52,67,25,37,60,77,90
2023-03,17,26,40,53,67,23,36,59,77,90
2023-04,19,28,40,51,64,23,35,58,78,90
2023-05,15,23,36,47,61,23,35,58,78,90
2023-06,13,20,32,43,57,23,35,58,76,89
2023-07,14,21,31,44,58,24,37,58,76,89
2023-08,12,18,29,41,56,24,37,58,75,89
2023-09,12,17,29,42,57,25,38,59,76,89
2023-10,9,15,25,36,52,26,40,61,76,89
2023-11,8,13,23,33,46,25,39,60,76,88
2023-12,9,14,25,38,55,28,41,60,76,89
2024-01,10,15,25,36,49,28,42,61,77,89
2024-02,9,15,26,38,54,27,41,61,77,89
2024-03,11,17,28,39,53,26,39,63,78,90
2024-04,9,15,27,40,56,26,41,62,78,90
2024-05,8,14,27,41,58,26,40,63,79,91
2024-06,9,16,27,38,51,27,41,62,78,91
2024-07,10,16,27,40,55,27,42,62,77,90
2024-08,9,14,24,36,51,26,41,63,78,90
2024-09,8,13,25,37,52,25,40,63,78,90
2024-10,10,15,28,40,55,27,42,64,79,91
2024-11,11,17,29,42,59,26,41,65,80,91
2024-12,8,13,25,37,53,28,43,64,80,91
2025-01,8,14,25,38,53,29,43,66,81,92
2025-02,8,14,26,38,54,28,43,66,82,92
2025-03,10,17,28,40,54,28,42,66,81,92
2025-04,10,16,28,41,56,27,41,65,81,92
2025-05,10,16,30,41,55,27,43,65,81,91
2025-06,7,12,25,37,51,26,41,64,81,92
2025-07,7,12,22,33,47,27,42,63,79,91
2025-08,9,15,26,38,52,26,41,63,79,91
2025-09,7,13,25,37,52,28,42,63,78,90
2025-10,8,14,26,37,51,28,43,63,80,90
2025-11,10,16,26,37,52,26,41,64,80,91
2025-12,9,16,28,39,53,27,42,62,78,91
2026-01,12,18,31,42,57,29,43,64,80,91
2026-02,10,16,28,40,55,29,43,64,82,92
2026-03,11,17,29,41,56,28,42,63,80,92
2026-04,10,15,26,37,52,29,45,65,80,92
2026-05,8,14,25,36,51,29,44,65,81,92
2026-06,8,13,23,35,50,29,43,64,80,92
2026-07,8,13,22,32,48,28,43,64,80,92
2026-08,7,11,21,31,45,27,42,64,79,91
