Month,Securities_Top5,Securities_Top10,Securities_Top25,Securities_Top50,Securities_Top100,Members_Top5,Members_Top10,Members_Top25,Members_Top50,Members_Top100,MonthDate,FiscalYear,Securities_Top5_Rolling3M,Securities_Top10_Rolling3M,Securities_Top25_Rolling3M,Securities_Top50_Rolling3M,Securities_Top100_Rolling3M,Members_Top5_Rolling3M,Members_Top10_Rolling3M,Members_Top25_Rolling3M,Members_Top50_Rolling3M,Members_Top100_Rolling3M
2022-04,14,22,36,50,65,26,39,60,77,89,2022-04-01,2022-2023,,,,,,,,,,
2022-05,11,18,30,43,57,26,39,62,79,90,2022-05-01,2022-2023,,,,,,,,,,
2022-06,12,19,34,50,67,26,40,61,78,90,2022-06-01,2022-2023,12.333333333333334,19.666666666666668,33.333333333333336,47.666666666666664,63.0,26.0,39.333333333333336,61.0,78.0,89.66666666666667
2022-07,12,19,32,43,57,26,40,61,78,90,2022-07-01,2022-2023,11.666666666666666,18.666666666666668,32.0,45.333333333333336,60.333333333333336,26.0,39.666666666666664,61.333333333333336,78.33333333333333,90.0
2022-08,10,16,30,44,61,25,39,61,77,89,2022-08-01,2022-2023,11.333333333333334,18.0,32.0,45.666666666666664,61.666666666666664,25.666666666666668,39.666666666666664,61.0,77.66666666666667,89.66666666666667
2022-09,11,18,32,46,61,25,38,60,77,89,2022-09-01,2022-2023,11.0,17.666666666666668,31.333333333333332,44.333333333333336,59.666666666666664,25.333333333333332,39.0,60.666666666666664,77.33333333333333,89.33333333333333
2022-10,11,18,32,47,63,25,39,62,78,89,2022-10-01,2022-2023,10.666666666666666,17.333333333333332,31.333333333333332,45.666666666666664,61.666666666666664,25.0,38.666666666666664,61.0,77.33333333333333,89.0
2022-11,10,16,30,45,61,24,37,60,76,88,2022-11-01,2022-2023,10.666666666666666,17.333333333333332,31.333333333333332,46.0,61.666666666666664,24.666666666666668,38.0,60.666666666666664,77.0,88.66666666666667
2022-12,9,16,29,42,58,25,39,60,76,88,2022-12-01,2022-2023,10.0,16.666666666666668,30.333333333333332,44.666666666666664,60.666666666666664,24.666666666666668,38.333333333333336,60.666666666666664,76.66666666666667,88.33333333333333
2023-01,13,21,37,51,65,25,38,61,78,90,2023-01-01,2022-2023,10.666666666666666,17.666666666666668,32.0,46.0,61.333333333333336,24.666666666666668,38.0,60.333333333333336,76.66666666666667,88.66666666666667
2023-02,16,24,39,52,67,25,37,60,77,90,2023-02-01,2022-2023,12.666666666666666,20.333333333333332,35.0,48.333333333333336,63.333333333333336,25.0,38.0,60.333333333333336,77.0,89.33333333333333
2023-03,17,26,40,53,67,23,36,59,77,90,2023-03-01,2022-2023,15.333333333333334,23.666666666666668,38.666666666666664,52.0,66.33333333333333,24.333333333333332,37.0,60.0,77.33333333333333,90.0
2023-04,19,28,40,51,64,23,35,58,78,90,2023-04-01,2023-2024,17.333333333333332,26.0,39.666666666666664,52.0,66.0,23.666666666666668,36.0,59.0,77.33333333333333,90.0
2023-05,15,23,36,47,61,23,35,58,78,90,2023-05-01,2023-2024,17.0,25.666666666666668,38.666666666666664,50.333333333333336,64.0,23.0,35.333333333333336,58.333333333333336,77.66666666666667,90.0
2023-06,13,20,32,43,57,23,35,58,76,89,2023-06-01,2023-2024,15.666666666666666,23.666666666666668,36.0,47.0,60.666666666666664,23.0,35.0,58.0,77.33333333333333,89.66666666666667
2023-07,14,21,31,44,58,24,37,58,76,89,2023-07-01,2023-2024,14.0,21.333333333333332,33.0,44.666666666666664,58.666666666666664,23.333333333333332,35.666666666666664,58.0,76.66666666666667,89.33333333333333
2023-08,12,18,29,41,56,24,37,58,75,89,2023-08-01,2023-2024,13.0,19.666666666666668,30.666666666666668,42.666666666666664,57.0,23.666666666666668,36.333333333333336,58.0,75.66666666666667,89.0
2023-09,12,17,29,42,57,25,38,59,76,89,2023-09-01,2023-2024,12.666666666666666,18.666666666666668,29.666666666666668,42.333333333333336,57.0,24.333333333333332,37.333333333333336,58.333333333333336,75.66666666666667,89.0
