"Security ","No. of Trades ","Traded Quantity (Lakh Shares)","Turnover (₹ cr.)","Average Daily Turnover (₹ cr.)","Share in Total Turnover(%) "
"HDFC Bank Limited","72,00,746","5,818.54","42,373.27","2,017.77","1.69"
"BSE Limited","41,21,966","982.70","33,557.92","1,598.00","1.34"
"Reliance Industries Limited","36,24,325","2,344.17","30,541.74","1,454.37","1.22"
"ICICI Bank Limited","29,75,863","1,993.79","28,476.40","1,356.02","1.13"
"Bharti Airtel Limited","30,04,569","1,470.22","28,415.46","1,353.12","1.13"
"ETERNAL LIMITED","31,22,466","7,739.83","25,010.07","1,190.96","1.00"
"Netweb Technologies India Limited","32,31,481","430.47","22,345.28","1,064.06","0.89"
"One 97 Communications Limited","24,99,443","1,426.77","22,067.37","1,050.83","0.88"
"State Bank of India","34,73,652","2,023.48","21,566.40","1,026.97","0.86"
"Hindustan Copper Limited","39,44,474","3,672.13","20,041.37","954.35","0.80"
"TOTAL of Top Ten Securities","3,71,98,985","27,902.08","2,74,395.29","13,066.44","10.92"
"TOTAL","75,89,92,707","10,15,758.56","25,13,307.68","1,19,681.32","100.00"
