Security,No. of Trades,Traded Quantity (Lakh Shares),Turnover (₹ cr.),Average Daily Turnover (₹ cr.),Share in Total Turnover(%)
HDFC Bank Limited,7200746,5818.54,42373.27,2017.77,1.69
BSE Limited,4121966,982.7,33557.92,1598.0,1.34
Reliance Industries Limited,3624325,2344.17,30541.74,1454.37,1.22
ICICI Bank Limited,2975863,1993.79,28476.4,1356.02,1.13
Bharti Airtel Limited,3004569,1470.22,28415.46,1353.12,1.13
ETERNAL LIMITED,3122466,7739.83,25010.07,1190.96,1.0
Netweb Technologies India Limited,3231481,430.47,22345.28,1064.06,0.89
One 97 Communications Limited,2499443,1426.77,22067.37,1050.83,0.88
State Bank of India,3473652,2023.48,21566.4,1026.97,0.86
Hindustan Copper Limited,3944474,3672.13,20041.37,954.35,0.8
