industry_vertical,deal_count,disclosed_deal_count,total_disclosed_usd
E-Commerce,299,205,8260735693.0
Consumer Internet,941,589,6253084245.0
Transportation,4,4,3916632394.0
Technology,478,310,2229707930.0
Finance,62,57,1971438000.0
FinTech,9,9,1220711265.0
Online Marketplace,2,2,700143000.0
E-Commerce & M-Commerce platform,1,1,680000000.0
B2B,2,2,587000000.0
Ecommerce Marketplace,1,1,500000000.0
Car Aggregator & Retail Mobile App,1,1,500000000.0
Health and Wellness,5,5,490200000.0
Cab Aggregator,1,1,400000000.0
Healthcare,70,44,381218000.0
Education,24,19,301143000.0
