startup_name,rounds_in_dataset,total_disclosed_usd
Flipkart,5,4059700000.0
Rapido Bike Taxi,1,3900000000.0
Paytm,5,3148950000.0
Ola,4,984500000.0
Udaan,4,870000000.0
Snapdeal,2,700000000.0
Flipkart.com,1,700000000.0
Ola Cabs,7,669700000.0
True North,1,600000000.0
BigBasket,4,507000000.0
GOQii,1,450000000.0
Zomato,4,435000000.0
Olacabs,1,400000000.0
Oyo Rooms,2,350000000.0
Automation Anywhere,1,300000000.0
Grofers,5,297000000.0
OYO Rooms,3,285000000.0
Vogo Automotive,1,283000000.0
Swiggy,8,270500000.0
Edelweiss,1,270000000.0
