year_month,deal_count,total_disclosed_usd
2015-01,51,369321768.0
2015-02,55,394262600.0
2015-03,60,463327000.0
2015-04,62,980500000.0
2015-05,59,324185000.0
2015-06,86,536994000.0
2015-07,96,1605427000.0
2015-08,98,1063816000.0
2015-09,88,1470520000.0
2015-10,93,254961000.0
2015-11,92,899275000.0
2015-12,89,305853000.0
2016-01,104,699880000.0
2016-02,100,331513000.0
2016-03,85,309561608.0
2016-04,79,253940000.0
2016-05,79,339840000.0
2016-06,98,199669000.0
2016-07,64,233547000.0
2016-08,87,534089000.0
2016-09,73,241361000.0
2016-10,80,237448000.0
2016-11,72,259997000.0
2016-12,72,187243000.0
2017-01,72,253233500.0
2017-02,48,294959000.0
2017-03,71,2264281000.0
2017-04,71,732395000.0
2017-05,68,1786669000.0
2017-06,65,344818000.0
2017-07,43,167704000.0
2017-08,45,2748139000.0
2017-09,58,536502000.0
2017-10,53,400387000.0
2017-11,50,615802230.0
2017-12,43,284420000.0
2018-01,37,347374600.0
2018-02,42,1211217223.0
2018-03,35,291953000.0
2018-04,35,198077740.0
2018-05,23,105887000.0
2018-06,32,391475000.0
2018-07,35,551978000.0
2018-08,25,809354811.0
2018-09,13,601090000.0
2018-10,7,52880000.0
2018-11,18,497115995.0
2018-12,7,57715000.0
2019-01,3,137000000.0
2019-02,3,226600000.0
2019-04,14,130135355.0
2019-05,9,408968600.0
2019-06,15,297152710.0
2019-07,13,296794605.0
2019-08,17,4531770000.0
2019-09,9,502800000.0
2019-10,3,630000000.0
2019-11,15,2062797265.0
2019-12,10,476900000.0
2020-01,7,390207254.0
