Symbol,Date,Direction,CAR_plus5,CAR_plus20
infy,2011-04-15,Down,-0.029997608238596693,-0.009935518424323761
tcs,2011-04-21,Down,-0.0063802352196270385,0.03786839400303075
sbin,2011-05-17,Down,-0.07658865126012503,-0.11211039118774084
lt,2011-05-19,Up,0.025797680369715567,0.036631301046897616
asianpaint,2011-05-25,Up,0.006259309987317316,-0.02836145445106701
ntpc,2011-05-31,Up,0.021831699146247868,0.07394659685170923
bajfinance,2011-06-03,Down,-0.005912849897310869,-0.03519458318923786
kotakbank,2011-06-14,Up,0.0019065119581912378,0.048789071860414535
titan,2011-06-23,Up,-0.12149825395751834,-0.06718718294442358
bajfinance,2011-06-27,Up,0.03472437852635715,0.16591261658970807
ongc,2011-06-27,Up,-0.047196666443812006,-0.0527393487500847
titan,2011-07-07,Up,9.073095346802396e-05,0.017599250383339107
bajfinance,2011-07-13,Up,0.06363414089368273,0.06838022219405447
kotakbank,2011-07-13,Up,-0.00046277601289897163,-0.012704255970712234
hdfcbank,2011-07-19,Down,-0.015995349290158434,-0.009643838143246587
titan,2011-07-21,Down,0.019499344139915633,-0.02418772646182845
maruti,2011-07-26,Down,0.037718839012480895,0.05283782923887595
hindunilvr,2011-07-28,Down,0.008249101226186557,0.1091930231099783
hdfcbank,2011-08-08,Down,-0.0005034369430497662,0.05379839739039481
bajfinance,2011-08-09,Down,0.030880597809657025,-0.01687266442664912
kotakbank,2011-10-14,Up,-0.01175066012981571,0.05013686073875883
bajfinance,2011-10-19,Up,-0.019098358040834908,0.020910425963932566
hdfcbank,2011-10-25,Down,0.014258670924839362,0.0059812230829385075
bhartiartl,2011-11-30,Up,-0.06801736649002506,-0.06776462005397516
icicibank,2011-11-30,Down,0.027439978812511853,0.021310078946809335
asianpaint,2012-01-06,Down,0.001327978983891225,-0.04022585272364376
infy,2012-01-12,Down,-0.03830017357935259,-0.05302821518339593
bajfinance,2012-01-13,Down,0.016456175908080767,0.10324324826516351
maruti,2012-01-17,Up,0.006542320898177176,0.044010629345341876
asianpaint,2012-01-25,Up,0.01571751772880631,0.008835567631807444
bajfinance,2012-02-01,Up,0.02420450812074791,-0.04339197470775787
bajfinance,2012-03-02,Up,0.018956173754371128,0.05003209351107037
itc,2012-03-16,Up,0.03062736731710026,0.11754846949896469
sunpharma,2012-03-16,Down,0.06370811898165807,0.056087107913320174
infy,2012-04-13,Down,-0.011146917227096625,0.0033022978595634023
tcs,2012-04-24,Up,0.03558665591945581,0.08526913346425405
